view,theta_deg,gt_P11,gt_P12,gt_P13,gt_P14,gt_P21,gt_P22,gt_P23,gt_P24,gt_P31,gt_P32,gt_P33,gt_P34,unregularized_P11,unregularized_P12,unregularized_P13,unregularized_P14,unregularized_P21,unregularized_P22,unregularized_P23,unregularized_P24,unregularized_P31,unregularized_P32,unregularized_P33,unregularized_P34,intrinsic001_P11,intrinsic001_P12,intrinsic001_P13,intrinsic001_P14,intrinsic001_P21,intrinsic001_P22,intrinsic001_P23,intrinsic001_P24,intrinsic001_P31,intrinsic001_P32,intrinsic001_P33,intrinsic001_P34
112,-64.78899082568807,704.5789531674917,29.874141574267387,-993.0076605276428,150031.85792641056,135.43063701790115,1198.4933733068744,102.78210957222096,110130.90605029427,0.8992196033804092,-0.016801511689142574,0.43717480954572313,750.461386748591,701.8001495769868,28.44384488474647,-990.5074161963714,149487.7298334004,137.3271747829294,1194.1245975102604,101.94874263022554,109812.58260127448,0.9005723918061975,-0.018506844897083954,0.43431194297235254,747.8780290364657,703.3963267525232,30.441912800252453,-990.8614860927353,149688.50542298963,135.41214479835668,1195.866986683839,103.38321297393409,109857.4102299689,0.899480017823931,-0.017164733882722497,0.4366246322027606,748.8574490049801
113,-64.38532110091742,710.8466418838311,29.188159695782407,-988.5674313583949,150004.55833434677,136.33924233805988,1198.317397563857,103.9129245182215,110152.07068212966,0.8964226830542565,-0.018028057734575605,0.44283333483391557,750.4361343249046,707.917348595352,27.650865171906403,-986.2668320455165,149460.04480530982,139.01458547730002,1193.8780352252493,103.4697098708849,109853.17816627708,0.8978848332999287,-0.020465817019059255,0.439754450192038,747.871998920975,709.7245901292251,29.711409716769392,-986.4097022551937,149663.65219153423,136.11939633323118,1195.7436199184785,104.33524039581349,109877.28608293082,0.8966733570132726,-0.018217561272495186,0.4423177718381111,748.8523356502197
114,-63.981651376146786,717.0836380127298,28.476189828921044,-984.089604323663,149976.80204491178,137.24253752927658,1198.141243975849,105.02993342654946,110173.54138346457,0.8935894025312675,-0.019246235523986528,0.44847247641518373,750.4107963184022,714.0397522836055,26.788586353036685,-981.9508919987055,149438.56635021194,140.21173456951834,1193.7060854427564,104.5999172457472,109881.50283104344,0.8951428167183145,-0.02192618381844414,0.44523991301405325,747.8510934867694,716.2846576300749,29.309171253594435,-981.700181142883,149647.73221502174,136.44228929039147,1195.6312083284931,105.48531952237293,109891.49841385336,0.89370869300253,-0.01906651976006546,0.44824238964643726,748.845692316347
115,-63.57798165137614,723.2902081662273,27.739117947059437,-979.5739569571152,149948.60770221683,138.13911608192637,1197.9651154173237,106.13302422827607,110195.28752116779,0.890719681127276,-0.020454716891722097,0.45409256127952974,750.3854082784092,721.389450930813,26.844981611305943,-976.5080981815869,149422.02826706308,138.77401456361554,1193.7715826138508,105.2541635482076,109851.81030700995,0.8917655766799566,-0.02131416233547479,0.4519954233536014,747.8512423947394,722.2958250249507,28.37332486168992,-977.389631688773,149613.70056119232,138.00623847982646,1195.3986611560554,106.78912933459277,109930.96686620289,0.890945717326128,-0.020877165362111837,0.45362966475383254,748.8275018163928
116,-63.174311926605505,729.4666142759354,26.977860205997917,-975.0202519918499,149919.99502919533,139.02757099165646,1197.7892191002143,107.22208343459158,110217.2784610726,0.8878134320226265,-0.021652184792253944,0.45969391209143395,750.3600056607652,727.2979558537435,25.923686347487017,-972.2269049444892,149397.93384791195,139.95197716964216,1193.6114210170374,106.29981734775049,109885.70043880318,0.8890155336494595,-0.02272685561651837,0.45731266215112887,747.8139465631599,728.8879756426272,27.84970993987519,-972.5176874459453,149597.85117757728,137.87300794406818,1195.3638288814154,107.51411971799045,109936.34139587166,0.8878595673788446,-0.021235852625330183,0.4596242238798192,748.8229741909995
117,-62.77064220183486,735.6131135245876,26.193362713376725,-970.4282375599905,149890.98482238984,139.90649479436843,1197.6137664837472,108.29699610332293,110239.48356568479,0.8848705622680523,-0.022837333635247693,0.46527684685986004,750.3346238120737,733.7056747905361,25.402158263348735,-967.4806948439249,149370.18471375428,140.85958599555184,1193.4240500043375,107.77857770148876,109911.86513728186,0.8859829737383933,-0.02411595686989449,0.46309026211951715,747.8344587066753,734.9128527288165,27.05269819838736,-968.0753734538869,149572.19292780766,139.334951438239,1195.126993716666,108.97908039986228,109973.6800024649,0.8849909894316403,-0.023032512808170254,0.46503811884462515,748.8223976789607
118,-62.366972477064216,741.7299582657143,25.38660130756323,-965.797647398467,149861.59894648872,140.77447959936936,1197.438973167345,109.35764580343951,110261.8721918567,0.8818909727773219,-0.024008869623380405,0.4708416786068077,750.3092979539908,739.5261193434444,24.35931946180796,-963.1763072844959,149342.01817650473,142.5283078354813,1193.1943535548198,109.082715975732,109950.77943733883,0.8831842364595991,-0.025982161571997817,0.4683060236099057,747.8196366838308,740.9731386690546,26.3216970268638,-963.5217819278963,149540.8113169106,140.06849559595221,1194.9914456239721,110.02116306999928,109993.67881728703,0.8820564677072954,-0.02413750048256909,0.47052499279653887,748.8064515953628
119,-61.96330275229357,747.8173959308398,24.55858134576207,-961.1282010610765,149831.86032860712,141.63011712063098,1197.2650587665082,110.40391457751994,110284.4136884244,0.8788745583069545,-0.025165511093291702,0.4763887150344446,750.2840631675372,745.1237757133309,23.231916320240313,-958.96158675871,149315.14330107687,143.93051425144165,1192.9992861890312,110.06815146540069,109982.84983705604,0.8804406952260743,-0.02752872317713108,0.47335647411867504,747.7584800746876,747.0342371264849,25.406068511166023,-958.9298486766775,149515.7526893123,141.16319579476482,1194.819720846266,111.13565627840633,110026.0061058555,0.8790728881364918,-0.025532470669696078,0.47600309902863913,748.8035240827861
120,-61.559633027522935,753.8756689236669,23.710337501091715,-956.419604136979,149801.79295232214,142.4719987060973,1197.092246771681,111.43568290216176,110307.077393811,0.8758212074232941,-0.026305988860053926,0.48191825819084544,750.258954377442,750.9451978377305,22.26720841654975,-954.5022511722412,149295.53621338494,144.74120060112287,1192.8812624692366,110.88426942519176,110006.11714415309,0.8775417774087146,-0.02858027984247982,0.47864767471124264,747.7414627149557,752.9007139152491,24.167181492857907,-954.455739796723,149482.7449853529,142.366664302858,1194.6785459837217,111.91303996766584,110063.43011562659,0.8761393410223038,-0.026862032727853893,0.48130893022125715,748.7961612593239
121,-61.15596330275229,759.9050145006892,22.84293356836255,-951.6715484757582,149771.42185145456,143.29871536498848,1196.9207643900372,112.4528296463241,110329.83263359664,0.8727308024572689,-0.027429046565546518,0.4874306041343697,750.2340063365317,757.628170480517,21.912248514630118,-949.258906938477,149262.04621548014,145.05207760615235,1192.7446236360638,112.30865428891632,110025.5385763481,0.8741587361811375,-0.02953212881450422,0.4847415366211979,747.771786246724,759.0774713919155,23.566889373578263,-949.6120064326191,149462.25710779635,142.93070169386849,1194.5355764598655,113.09840511507264,110079.09528957137,0.8729955652572748,-0.027904970843861027,0.48692921009458306,748.797076469938
