view,theta_deg,gt_f_mm,gt_cu_mm,gt_cv_mm,gt_source_x_mm,gt_source_y_mm,gt_source_z_mm,gt_camera_euler_x_deg,gt_camera_euler_y_deg,gt_camera_euler_z_deg,unregularized_f_mm,unregularized_cu_mm,unregularized_cv_mm,unregularized_source_x_mm,unregularized_source_y_mm,unregularized_source_z_mm,unregularized_camera_euler_x_deg,unregularized_camera_euler_y_deg,unregularized_camera_euler_z_deg,intrinsic001_f_mm,intrinsic001_cu_mm,intrinsic001_cv_mm,intrinsic001_source_x_mm,intrinsic001_source_y_mm,intrinsic001_source_z_mm,intrinsic001_camera_euler_x_deg,intrinsic001_camera_euler_y_deg,intrinsic001_camera_euler_z_deg
131,-57.11926605504587,1201.8770484742001,198.41803357514766,147.54156430745297,-630.1080790864507,-405.7991239607831,28.15069409569741,-92.14569100797307,-0.9915003765546515,-57.139666732086106,1198.5686554173171,201.72581545718793,146.2224669090314,-628.4945249204126,-404.2657824044268,28.73473928682934,-92.26053489335298,-0.9664131199644723,-57.33110722532077,1199.919585178421,199.75600371237502,146.6326618865941,-628.9590106606566,-405.3552181573485,27.797719693559632,-92.16061695740295,-1.0402416310408371,-57.18373949066546
132,-56.715596330275226,1201.888343501439,198.39186778141539,147.58848489505937,-627.4587885267772,-409.8002822986088,28.798401343890088,-92.19455509518086,-0.9518400027794005,-56.773987572913,1198.5938070339948,201.7283737853452,146.22684743297984,-625.7990071779308,-408.33661612990517,29.361517492486403,-92.3094881127604,-0.9290762326459376,-56.95906714927756,1200.0124187580036,199.77084974346803,146.64980906681353,-626.3665849035507,-409.25664606180896,28.768932966148622,-92.23641206555446,-0.9852415531240954,-56.82898293248581
133,-56.31192660550458,1201.899134529453,198.36597532434672,147.63468996720937,-624.7806741048469,-413.7909960395314,29.42242490251443,-92.24162188130074,-0.9116835467208696,-56.407860125070044,1198.7557865702001,201.78825716902156,146.27801230526842,-623.3875911992632,-412.0376966063395,30.308315418866698,-92.38296299585774,-0.8741289411214956,-56.62670442918425,1200.079015699151,199.78493078091537,146.66401757914716,-623.7248212910365,-413.2375826382716,29.295503745184362,-92.27765645862729,-0.9322280523988229,-56.4673214694986
134,-55.908256880733944,1201.909407776424,198.3403680659079,147.68013064626797,-622.073611177064,-417.7714144053855,30.021975715321272,-92.28683088702154,-0.8710892553051369,-56.04125043389548,1198.7101606198437,201.7748773461583,146.25961889620467,-620.3531930685008,-416.5271209531108,30.486050207988587,-92.39671284980246,-0.8608064974674573,-56.21188721227291,1200.111205466364,199.79476396408916,146.67637992430804,-620.9501228311042,-417.36161806254813,29.94290007477984,-92.32820000917518,-0.9031257161032966,-56.08885039472594
135,-55.5045871559633,1201.9191494605357,198.31505786806272,147.7247580546001,-619.3374691655407,-421.74167841680503,30.59627858115344,-92.33012267602204,-0.8301168380840462,-55.674124318980596,1198.8330806320932,201.8217920282924,146.30236639093454,-617.796303194639,-420.3721263455454,31.074614211125592,-92.44221491956584,-0.8179767232960333,-55.863110137983064,1200.1587672479368,199.80887225258812,146.69146998818695,-618.2106113848187,-421.355197957381,30.717458997095378,-92.38866341921984,-0.8659768145910969,-55.72110711346398
136,-55.100917431192656,1201.9283457999668,198.29005659277482,147.76852331457064,-616.5721114171514,-425.7019206372487,31.14457248156879,-92.37143888054594,-0.78882746635614,-55.3064473852703,1198.8060450135777,201.80047091146483,146.28033698536476,-614.810037664571,-424.59717648836306,31.5070811659557,-92.4757714038219,-0.7826757476265975,-55.46799418369372,1200.1905543856901,199.8149457974321,146.69587432460472,-615.3672016324892,-425.4678498391084,31.07112652993165,-92.41615009646743,-0.8362225139465143,-55.34037770823205
137,-54.69724770642202,1201.9369830129026,198.26537610200842,147.81137754854478,-613.7773950585959,-429.65226491728663,31.666110915564673,-92.41072222766732,-0.7472837725492375,-54.938185035326235,1198.9846994884965,201.8898164533946,146.3494394574889,-612.3105267976022,-428.2572529408106,32.625566192904365,-92.56249749107918,-0.7359176123928837,-55.13560825225081,1200.1817119542886,199.81610118917462,146.69464139887458,-612.3020911358402,-429.8474377753984,31.453485373341316,-92.44541854982569,-0.8334266469932515,-54.93138203908492
138,-54.293577981651374,1201.9450473175243,198.24102825772826,147.85327187888768,-610.9531708478994,-433.5928261392353,32.16016224172938,-92.44791656628215,-0.7055498498409054,-54.56930248276126,1199.1203822906982,201.93781050905613,146.38845795858435,-609.7349708294756,-431.8746672945413,33.674573815968856,-92.64418853337303,-0.6730132112686774,-54.80141191022888,1200.2223039585037,199.82926235242223,146.71267803067596,-609.4987049427218,-433.80173999077675,31.92169610724657,-92.48233359147629,-0.7876810948043507,-54.56400825284758
139,-53.88990825688073,1201.9525249320131,198.21702492189945,147.8941574279641,-608.0992830228163,-437.523709962258,32.62601002815391,-92.48296689485834,-0.663691251992522,-54.19976476685277,1199.1880603000232,201.94380896304835,146.40255919098465,-607.01549047259,-435.68321664317887,34.00576600387088,-92.67019571853297,-0.6255180878955565,-54.44631660238421,1200.313769239131,199.8414272699241,146.72812305654463,-606.7185494463104,-437.60245073282323,32.58798789474165,-92.53470118213575,-0.7224980616048486,-54.20866087156837
140,-53.486238532110086,1201.9594020745512,198.19337795648437,147.9339853181389,-605.2155691465944,-441.445012568027,33.06295341043922,-92.5158193899795,-0.6217749933702817,-53.82953676834042,1199.3032123305711,201.9795325113339,146.42779369283144,-604.2296323388466,-439.62427375259443,34.238875992090485,-92.6876667800277,-0.5815409753291129,-54.08162339641609,1200.3690400651599,199.85449806830164,146.74433411836452,-603.969990404769,-441.3821034145256,32.950353790544355,-92.56325916010951,-0.6727660546354841,-53.85464476587767
141,-53.08256880733945,1201.9656649633207,198.1700992234487,147.97270667177725,-602.3018599515822,-445.35682040706814,33.47030745813524,-92.54642143571444,-0.5798695491252269,-53.45858322641307,1199.3096652484483,201.97824133231487,146.42699058407487,-601.167746094175,-443.8082824241618,34.35375441995213,-92.69643255077307,-0.5592398681949013,-53.68634695867326,1200.4122032060475,199.8654917971745,146.75227946608143,-601.0580465036747,-445.3272729120081,33.306761549139345,-92.59091282356182,-0.6293548100754476,-53.48305600712464
142,-52.678899082568805,1201.9712998165035,198.14720058475586,148.01027261124432,-599.3579791811749,-449.259209945904,33.8474035499528,-92.57472165384533,-0.5380448555020544,-53.08686875688632,1199.3256237664214,201.99546793630202,146.4328004302565,-598.1526903475904,-447.85171762952183,34.759680241734124,-92.72813536707943,-0.5293583021869159,-53.3031050585015,1200.4644088487432,199.8792566115494,146.7681769164587,-598.226931037942,-449.10517742891153,33.797097103636105,-92.62931987576209,-0.582658468727036,-53.125468032695196
143,-52.27522935779816,1201.9762928522828,198.12469390237015,148.04663425890482,-596.3837434306207,-453.1522474151215,34.19358975809212,-92.6006699349865,-0.4963723102462012,-52.71435787157324,1199.4225007278237,201.99430967342676,146.45528855002465,-595.525343219844,-451.42610797153947,34.727297542579585,-92.72703514381841,-0.4582373876859882,-52.96779118868171,1200.5345033172207,199.89889467708997,146.78153271787303,-595.3665382829485,-452.8286865264974,34.63750595548716,-92.69457360208499,-0.5362693412559706,-52.770377701025474
144,-51.871559633027516,1201.9806302888387,198.10259103825638,148.081742737124,-593.3789619872055,-457.03598855850805,34.50823124203464,-92.62421747062494,-0.4549247730748083,-52.34101499884469,1199.4288594494287,202.01860661407855,146.4551103563645,-592.3385117621905,-455.57971984805357,35.11886341280323,-92.75637819694316,-0.44350129884895007,-52.569745451540825,1200.5574052293491,199.90551707441523,146.78582921618985,-592.2873453675637,-456.8295605509769,35.006696665396404,-92.72317622031369,-0.5089211510433479,-52.386045727470595
145,-51.46788990825688,1201.984298344354,198.08090385437822,148.11554916826665,-590.3434366703679,-460.91047838337926,34.79071065214351,-92.64531678611154,-0.4137765661771615,-51.966804505378136,1199.501211543077,202.03933511122557,146.47287235797668,-589.453804887893,-459.35357440266654,35.35657020079572,-92.77518463944388,-0.3935006801221527,-52.210476724301095,1200.5830085160137,199.91397077180443,146.79561392356754,-589.3111629304475,-460.6951991888658,35.04614942938779,-92.72642395626895,-0.4669052292262118,-52.016048784058334
146,-51.064220183486235,1201.987283237011,198.0596442127008,148.14800467469755,-587.2769616723116,-464.7757509122682,35.040428543426245,-92.66392177463388,-0.3730034747073852,-51.59169071908825,1199.5641644073612,202.0509840205749,146.48845374460944,-586.6479061708236,-462.9617732357359,35.59973892043503,-92.79497871619269,-0.3353675392878345,-51.86482493962736,1200.635877782082,199.91611145887003,146.81325074876483,-586.3101043625106,-464.49606577734187,35.45204546599552,-92.75822345070506,-0.42526084240780343,-51.64908695139987
147,-50.66055045871559,1201.9895711849913,198.03882397518754,148.17906037878228,-584.1793233996943,-468.63182893611514,35.256803799808964,-92.67998773219556,-0.33268274723055963,-51.215637953232296,1199.5832866293722,202.05210936581426,146.49552962845132,-583.5288663179246,-466.9099526699494,35.744087903155965,-92.8068877322014,-0.29848643089915633,-51.481992849414844,1200.666969477766,199.9227471031254,146.82709127636346,-583.2199443461446,-468.37678260701034,35.79903909541199,-92.78559974379684,-0.3868049031104078,-51.272233588219585
148,-50.25688073394495,1201.9911484064771,198.01845500380296,148.2086674028855,-581.0503003169928,-472.4787237691299,35.439274069273786,-92.6934713936312,-0.2928930960814872,-50.83861053167954,1199.577118119649,202.050848582546,146.4906431853059,-580.302005526264,-470.89629919721693,35.92124776230292,-92.82064392715057,-0.27732292723326796,-51.09110947810272,1200.6863091861123,199.9234438786866,146.8355981440477,-580.0907321301819,-472.28225290492855,35.82151029134615,-92.78740135184961,-0.3493879814189716,-50.89244304636295
149,-49.85321100917431,1201.9920011196505,197.9985491605113,148.23677686937228,-577.8896627921664,-476.31643500549944,35.58729621021579,-92.70433096967867,-0.2537146975933619,-50.4605728153327,1199.5948076031814,202.07170236195452,146.498997939982,-577.1312967457231,-474.76990620538913,36.34731815338871,-92.85399717086237,-0.2419996543920408,-50.71136537229556,1200.730261010572,199.9304849995949,146.8518431441339,-577.035705751303,-476.0358739874867,36.127006206712174,-92.81134603227444,-0.30051637319556024,-50.526149827223435
150,-49.449541284403665,1201.992115542692,197.9791183072765,148.26333990060763,-574.6971729452641,-480.1449502781231,35.700346749370276,-92.71252618513377,-0.21522919215173683,-50.08148922968531,1199.688249786262,202.06291465197785,146.5172109714027,-574.2056583519043,-478.411255340451,36.05035589576198,-92.83168093232429,-0.18700658491053943,-50.356882955956266,1200.7524270351678,199.93392282265535,146.8594408621368,-573.7606802680419,-479.9819393165404,36.36275692704768,-92.82956518797609,-0.26963685512376057,-50.13638554737186
151,-49.04587155963302,1201.991477893785,197.96017430606236,148.28830761895628,-571.4725845006219,-483.9642450195577,35.77792235166418,-92.71801831810716,-0.17751968402689633,-49.70132429349677,1199.6935616541548,202.0707355656773,146.51973440715452,-570.9928827077214,-482.2278385969918,36.37254853764871,-92.85713836922409,-0.15030913253091854,-49.97794587321672,1200.7664471841153,199.93713364907921,146.86855620766136,-570.5789473319531,-483.80494283700784,36.2746992603145,-92.82306975501854,-0.23448502452218845,-49.75827567606386
152,-48.642201834862384,1201.9900743911135,197.94172901883408,148.31163114678398,-568.2156426433537,-487.77428222538856,35.819540302345004,-92.72077024040217,-0.14067074093638962,-49.32004264856413,1199.7199745327712,202.05169489995842,146.52130431552942,-567.6808144243868,-486.1878904465896,36.05735518885258,-92.83305142903087,-0.12247056043452396,-49.58352787088408,1200.7900121353118,199.94057079988426,146.8775280189631,-567.3002274812751,-487.6487472820147,36.563922977523944,-92.84568373426976,-0.2005252777208211,-49.37449427410998
